domain,comparison,sample,category,n,value
target,block_distribution,after,313fdb41d64ecb292a6a8209f9dd03b3122e0fb72a55deefec7d142cee716faa,713,0.006613548034023134
target,block_distribution,after,0bc52443a3ae200070abf025102dc36a173139263c26d96e1aa4885bf3c9ef8b,1933,0.0179298574330529
target,block_distribution,after,109fd96854b520700f2a7471650a2301bed42e1452dbfd1f46dc6c59daffeb3a,1689,0.015666595553246947
target,block_distribution,after,8385527944b9bd66f28452e7dc40e15531de6223160d76b231b4fac790f7911b,613,0.005685981689840366
target,block_distribution,after,3af24533ca1f431676d51ff27804f5079dfe753ba1ee575cfe2d09ce0a235ad5,980,0.009090150172991123
target,block_distribution,after,de231d2d7002a9272742d0fbbf3750df622d05d622ae4c6fc7055cd2e178abfe,2143,0.01987774675583671
target,block_distribution,after,193ee9c9287914c20feb8e250cabc36fed374dd971df0e40805bdbe21338b44a,1310,0.012151119108794257
target,block_distribution,after,cfce125556868dd205bdec1729e79851cfb88d7f0b4948c34002f2d94587ad97,1405,0.013032307135767886
target,block_distribution,after,c842cad3927eee9a136e9ad8a5658dfcced9d807b9ab8da7176515379a6ac0ae,1271,0.011789368234562976
target,block_distribution,after,c96c9ba682222b61befa70c34a756052646a90937d95332404f3a49646a1f216,1592,0.014766856199389661
target,block_distribution,after,0120c711396fbeae6fc6dae2a5b5d8c03b6b8daa47dcf660fe486a5601b0d6b8,94,0.0008719123635318016
target,block_distribution,after,ec9330902635975dfd05ef559ccb660dbd3f0958ed899c2714a0d5c378a796ed,1,9.275663441827676e-06
target,block_distribution,after,5b4b23db57e9debf91b2e3c514cbb62585afe2c7308f95ca7a99fb0f322eddf5,579,0.0053706091328182244
target,block_distribution,after,c1a8d46531a288d5b37c30c7c5cd50f91e5b89790e6a2f88098652d9b707c76e,630,0.005843667968351437
target,block_distribution,after,db3b7b4242e3aed08e9e691acdd6bcab0c6ac0a0bfd44a059c2ae3489131763f,1121,0.010398018718288826
target,block_distribution,after,021a65b5f6e762074090eafd31a69393f8e44f57ef475898a5ea9dd8efcaa459,1848,0.017141426040497548
target,block_distribution,after,31882776acb1f5866f01f2ceae1d664b0d59fe866bcca8831f217079d3e8ccc4,1449,0.013440436327208304
target,block_distribution,after,6e866887ee0ea0217dd8825c78c8c083e93392d3bd16d5c02531410ecc5f5c57,1716,0.015917038466176293
target,block_distribution,after,66662252637e8681a7391f5c3357909229d7aa0e0034ba8d65881c8cc5ad2802,1346,0.012485042992700052
target,block_distribution,after,1a21cafef8e12a49ff77d7f82cc9f28520bb7c20b6ab2e009a65ccf99b37a50c,2086,0.019349033939652534
target,block_distribution,after,76e8380ed21879a2f7bb46f969719e77cf3b8bf74290c52faee4fdd75d49b7d7,1818,0.016863156137242718
target,block_distribution,after,8e936d2d67fcef75ac0ccff923e182433980630634b2eb945de72376c514b8b4,1886,0.017493901251286997
target,block_distribution,after,3f949cef11e10276b900b248596bd23fba152b4f3daeb971e4603aad3be57f7b,1227,0.011381239043122559
target,block_distribution,after,625390268fa9426193da7aa094e15c71f1f313a239107ffd8b38c3573a43cfda,173,0.001604689775436188
target,block_distribution,after,d656f93e8ec3b27f2ccc20e779bf71d11ed55ed583ea22c0a5eed4e1cc304729,644,0.005973527256537024
target,block_distribution,after,aafd6ca8acbb97add365cc572ddf67b50741ff9ac3ccb91248edd9995f8df266,550,0.005101614893005222
target,block_distribution,after,8346076c330c099bd00f5c582a6a84b8b2771d4b511539919b0c03f05471d16e,529,0.004906825960726841
target,block_distribution,after,d47b4c7be0df9a398125806a744c6b5ae5269046a6e34a1d252d2091b4d7f2df,791,0.0073370497824856926
target,block_distribution,after,461c638231977eb66c169caca2a39dee0e93fe6b7630d4d6c1cb5291669ec622,2443,0.022660445788385015
target,block_distribution,after,2659b565db726080beb236b045ae72d37fc6019d3c2304da2c9344260b5ca2e6,1895,0.017577382222263446
target,block_distribution,after,e9be0d06c8fdc04415d56fa59daa9346010e01224042ca4e58550d2f3337a1e3,1507,0.01397842480683431
target,block_distribution,after,7955bf6b00eea7e9e32d04c31bcefb427837e91d327d1dfbcb47a89788dbdf8c,1574,0.014599894257436763
target,block_distribution,after,e5c2a232d43670799ca18381946a250504fd10cceb6558678309318f16149b55,2070,0.01920062332458329
target,block_distribution,after,a3b661c8475c040ed5111f2b10826aabb1ca97db56e541edd493d7ab27a6eece,1227,0.011381239043122559
target,block_distribution,after,845b102a953724266ef47368770e0eca31661800ef2115014a11ef3981a717bb,871,0.008079102857831906
target,block_distribution,after,71ff1306759394b9a83f09b645f32dab0cd0c8843091229c7af3fe5aa73785fd,320,0.0029682123013848568
target,block_distribution,after,2fd2d803bc5e92114ef519b1770ad2006f03d754fd85f8346be72ab6c2c40ef4,438,0.004062740587520522
target,block_distribution,after,7b0c8338ddb806f97f2eca1c9de88925890f7640d12bdb3bd4604cce4a87a928,213,0.001975716313109295
target,block_distribution,after,f075fc86d8b8d6a89d89baff02b7686144c1e3ab73ae58c8f160bb654919b1fa,426,0.00395143262621859
target,block_distribution,after,f4d5bbc0950051b803c56ded6613c5f6bb5362aa0c9529d98632bc2e4931d700,675,0.006261072823233682
target,block_distribution,after,2782e0c149d9cdc6112c86e29f3b2ae7a0362e05b7d3c1c4b428fde982945426,1163,0.010787596582845588
target,block_distribution,after,d5de0bbb2e8da190c9768a52ab3e417f14e93f0c04b8caf9d6bc8c955dbc651b,1219,0.011307033735587937
target,block_distribution,after,f280f0a16c8bddd4beedbd6684422cd2e4b908bb29d7885f6d7576b609d04745,2764,0.0256379337532117
target,block_distribution,after,b2d1d478c9cd3a732c0650799f7c3d2a338f4afadb7d93e7cd8965d2aec84a97,2447,0.022697548442152327
target,block_distribution,after,f4274b39782cf02f1fe204e1c26709279fc88e6d68d0c9463fe98fff8e4388dd,1503,0.013941322153066997
target,block_distribution,after,c8fe93cb431dad5c890a44fdad2d625620bad047fc86da07e74945e58fcdc53f,1089,0.01010119748815034
target,block_distribution,after,4720efd33d90cff9afe523be490ab2ddace830df35cdbf03588a4a8ce72d400d,1157,0.010731942602194622
target,block_distribution,after,c691cb264ac3cfa6975255419d964726bf5967d992f4325ae2523e4658c59c11,484,0.004489421105844596
target,block_distribution,after,393e4a6a7f092214fe886764040e0cc8b3594c72b1b38e053a272279e3453a58,352,0.0032650335315233424
target,block_distribution,after,e3a85b4869348e67cd9d7f5e206b41fd2bd878d5bc1dffc08b20c13038a638cd,703,0.006520791399604857
target,block_distribution,after,c9a84fe7e830d07cd6c6edb357a1161a43456ac8ae83ccd93bf3f99cf2cc19fb,1413,0.013106512443302507
