shot_number,year,spatial_block_id,spatial_fold,missing_reason
115841100300221870,2020,EPSG5070_50KM_30_24,3,DEM_MASKED
116860500200250108,2021,EPSG5070_50KM_29_24,2,DEM_MASKED
116860600200249863,2021,EPSG5070_50KM_29_24,2,DEM_MASKED
116861100200249657,2021,EPSG5070_50KM_29_24,2,DEM_MASKED
116861100200249672,2021,EPSG5070_50KM_29_24,2,DEM_MASKED
118690100200243977,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690500200243539,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690600200243684,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690600200243760,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690600200243910,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690800200243761,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690800200243867,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118690800200243877,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118691100200243632,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118691100200243646,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118691100200243712,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118691100200243853,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
118691100200243969,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300000200244093,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300100200243696,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300100200243821,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300100200243825,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300100200243994,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300200200244121,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300300200243992,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300500200243726,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300500200243765,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300500200243912,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300500200244008,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300500200244191,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300600200243551,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300600200243607,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300600200243739,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
