scope,domain,year,image_count,frozen_sample_n,sampled_n,valid_hh_n,valid_hv_n,qa_land_n,valid_palsar_n,missing_fraction,block_id_hash,qa_class,qa_count
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,1664c5f5c125def96725710cd57bb3513e0de011200952707d03fed1a353aef5,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,9550fc5c7c1cc80e0e50bdebf6428f8aab57a254140a90690320cd464f3d0bc0,,
block,source,2019,,200.0,,,,,200.0,0.0,0e1e837254cb586aa2b87499026a0acccc5191fec2a1d559f97cd339fd5b84d6,,
block,source,2019,,200.0,,,,,200.0,0.0,3d87fafeac73fa453c0ac4e4a336532e3a15640aaf098cae811f3f86cb6dfcc7,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,eed5782b807285d5aacca0c949eda386ccfb9cfefc1444b776148647a70eb79a,,
block,source,2019,,200.0,,,,,172.0,0.14,dfdc18b49e82d051a38eae95731353e89a0bf96764b69d1143858ac0ec6ee166,,
block,source,2019,,200.0,,,,,168.0,0.16000000000000003,d16983f22d4d342e94cea1643124232038e14dd1f23ec50d77ceb12c8399185e,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,42739dc50fade03a4357ee9157cacc614cb8de7d0c92a44721fc01e4869d31ef,,
block,source,2019,,200.0,,,,,200.0,0.0,cf6ded0b2503cf4635b9b77c3e8ebb7eb1276ed50af07277e24fd420e882ecb8,,
block,source,2019,,200.0,,,,,176.0,0.12,e57872ba6c13d1acae3550afac54dd8dae131141e74f562016344de1bf81e278,,
block,source,2019,,200.0,,,,,108.0,0.45999999999999996,205355ee339205bfaec389eab3df2fafce83f37c8b9f4328d5baabd55336e3d6,,
block,source,2019,,200.0,,,,,99.0,0.505,3f87eb6d8995d89b0cc227003772dce1fc7f8914ea4852a246474eb11da23c02,,
block,source,2019,,200.0,,,,,168.0,0.16000000000000003,16d98ae0ff6eadd77499aa677ee943808803eea842515c68e0d7f892f2fd9bfe,,
block,source,2019,,200.0,,,,,184.0,0.07999999999999996,30f311ed038d6f646771901bed4e82ad2415aaf29a380fe49509fa2eb1f0a343,,
block,source,2019,,200.0,,,,,114.0,0.43000000000000005,1bf6cf8679128a5d3a76b5b30e8715a5a158ea6aa7be4087e88f8fd32673a6da,,
block,source,2019,,200.0,,,,,101.0,0.495,8c58f207795c8b8c42a891f660f1987980d9cd8ae9841b1c35936402cf32cbe4,,
block,source,2019,,200.0,,,,,122.0,0.39,7a546463a740163590a00f22bdaeb77a1027aa2a870a0674ad716836aea305d6,,
block,source,2019,,200.0,,,,,194.0,0.030000000000000027,d1034e9a281fe4caed76a268da916db0e748b0d8314ce1108b9724917ad7a958,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,06d887ea2c9d387c705754940f28c674a3efe1f97bfd6362f91db039f3a6e485,,
block,source,2019,,200.0,,,,,58.0,0.71,530148f0683176a0d7c64fd0e2a18b5c8ed9f1fba3c041aca17390a25306b636,,
block,source,2019,,200.0,,,,,176.0,0.12,9d4541ce63b1d02af894e0c9cb10f0d0091e78cfcbeac1fc6cd503e87293806b,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,4ede1eae066147c9f3e4f6662841809211e87b55943067a523e8834ef559c603,,
block,source,2019,,200.0,,,,,183.0,0.08499999999999996,235294d363fe3b0cdad9ce8d9a3efdda9d564924a211b92d611d292ff37cf56c,,
block,source,2019,,200.0,,,,,82.0,0.5900000000000001,a9e9a9634866bac9ebd2e853c1d6b87eee6a1ebee0600cc4b26ac68ca058223c,,
block,source,2019,,200.0,,,,,188.0,0.06000000000000005,9c6db86d5122b9dcf23672b6eccf62001ab7c817056f0ac04f205b9a4d282d5e,,
block,source,2019,,200.0,,,,,200.0,0.0,403dddab6590c9e16b95709e3684d05f322f8142150e71451517a63e6fd1fce9,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,a2abea4eac8d63f57fe3acc10ff4ba17d8fea0aab64762ae6a789a8b04199e78,,
block,source,2019,,200.0,,,,,200.0,0.0,98002c397dc859c37f99a8415eae1c454d9010f95362d4aa86ce841d82602b6a,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,d7ec65680266c65dc4ce8ac88c4b325ae5096acbc15ab3a51f66e8833adaec9d,,
block,source,2019,,200.0,,,,,196.0,0.020000000000000018,cb9248e70373de2b539401edfcb66a52e53149ac71c997769f9845c4902ad4fb,,
block,source,2019,,200.0,,,,,195.0,0.025000000000000022,7ad5d2c204f9be32f09282ba6e7073b6c4bb672f1bff31a64a7aed5c5b270658,,
block,source,2019,,200.0,,,,,195.0,0.025000000000000022,8ad0debc063e6ae994a4c0c369670903093ee070ddaa402ff1697f8d6df4d443,,
block,source,2019,,200.0,,,,,200.0,0.0,ca7130bdac006286b50bdd06f1b9e8a6071725895871e5e8d5fe6e00e6ca0a00,,
