representation,budget,runs,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd,Bias_mean,Bias_sd,first_positive_R2_labels
palsar_sentinel2,500,15,-0.001049038940745269,0.046766057976371705,87.18380355789147,6.0812532318074055,58.968186285192544,3.2725496685334234,-0.2115079325801516,4.231968543432487,1000
palsar_sentinel2,1000,15,0.03303854288147578,0.020626412836497826,85.66237532623647,4.948822966293526,57.61851576980385,2.2197021210737917,-0.45092476224026456,3.6680329674869636,1000
palsar_sentinel2,2500,15,0.0577088315767335,0.01580933007481098,84.561058217009,4.7869185127177065,56.62149405932189,2.0866625395254497,-0.5171681709303492,2.8250119207898328,1000
sentinel1_c,25,15,-0.12538711529563443,0.09170551738261222,92.27355642780475,5.0795013118204055,64.6270175705022,5.0895216899841875,-0.12050825005858598,16.552259824241137,1000
sentinel1_c,50,15,-0.13721800193323486,0.0924388319761222,92.81739756311062,6.231749553796536,64.79249629370729,5.275091252904026,-1.08368004570718,12.188707772632402,1000
sentinel1_c,100,15,-0.11092422502595353,0.07628750883051563,91.70618273028389,4.650646467191244,63.54201265984005,2.9799718713173853,-1.3654600998064326,6.757325704283459,1000
sentinel1_c,250,15,-0.06554099751174157,0.06605025583739899,89.9258108594261,6.39338347601811,61.696093390763494,3.746217856938135,-0.8558083920686713,4.816969712544686,1000
sentinel1_c,500,15,-0.030394933256347286,0.04680292841007051,88.44869910096736,6.044425065594893,60.26119960120058,3.4651870180586073,-0.8536876559857464,4.8143132263844945,1000
sentinel1_c,1000,15,0.00019793546034179154,0.021838563875096986,87.11032655891532,5.1358609198187475,58.9917397393986,2.321548458660246,-1.4076090923073115,3.942876547194596,1000
sentinel1_c,2500,15,0.02724456406031835,0.016136862264727363,85.92381376910546,4.983833776917219,58.206450740002566,2.4443534818928,-0.5386134219680782,3.3399797131863416,1000
sentinel1_c_palsar_l,25,15,-0.1390897980212649,0.11467277908599702,92.77942389816793,5.471310405464999,64.93057662741555,5.491653433062766,-0.7470933724012018,15.07081526629443,1000
sentinel1_c_palsar_l,50,15,-0.1286453085203178,0.07620498281980181,92.50461676456443,6.134990806697894,64.63076975644223,4.6906007945492405,-0.8894123222415163,12.720713377608638,1000
sentinel1_c_palsar_l,100,15,-0.11136374557780074,0.07872115120056804,91.72740445966943,4.928507738850258,63.655640793015785,3.5671879765249193,-0.033610506278600384,7.713710638864612,1000
sentinel1_c_palsar_l,250,15,-0.06533931509450891,0.07755598921660706,89.88774068845146,6.3346260543325235,61.33224669178186,3.312126632345574,-0.6574583110760592,5.591835177122636,1000
sentinel1_c_palsar_l,500,15,-0.02338036381837576,0.0571043689065631,88.14289053131556,6.296250966298619,59.72939447067777,3.2736648196119185,-1.0093771751082672,4.797063165433607,1000
sentinel1_c_palsar_l,1000,15,0.005791994588343726,0.029758862934117097,86.85363856277512,5.035237355063619,58.538432502737365,2.195896426704752,-1.3577636279773446,4.018170420687046,1000
sentinel1_c_palsar_l,2500,15,0.037404844555121955,0.013172465736555202,85.46766933582889,4.807153804917237,57.653974803503885,2.2943183811535164,-0.5215343985492636,3.393159070116288,1000
sentinel1_palsar_sentinel2,25,15,-0.1579460776509192,0.21982373396507804,93.4950349634798,10.907446241936489,65.38121187491296,9.863317403418932,-0.949348664608389,17.39251998624576,500
sentinel1_palsar_sentinel2,50,15,-0.10722946197374848,0.0850672650940563,91.63723577169553,6.750025496500483,63.61292317569986,5.1183563108215315,-1.933178993721403,12.333854817800892,500
sentinel1_palsar_sentinel2,100,15,-0.0910344081030967,0.08667372450561812,90.8890585617511,5.5613627480910575,62.52883481392499,4.138932563801603,0.22997906963395984,7.486751620553509,500
sentinel1_palsar_sentinel2,250,15,-0.04094899794142851,0.0748611160477929,88.8655827622827,6.472968076437292,60.26153302361812,3.6770288946308844,-0.3037600080047532,5.786091190549973,500
sentinel1_palsar_sentinel2,500,15,0.004915421523240116,0.054237055172901345,86.921617033388,6.265906025750331,58.53387910482543,3.3011482589852705,-0.39392750245817304,4.329935219217654,500
sentinel1_palsar_sentinel2,1000,15,0.03936475907546388,0.024962292739519835,85.37946994547704,4.96972783147785,57.21119074247719,2.164073196955092,-0.734790487762717,3.7853001777515507,500
sentinel1_palsar_sentinel2,2500,15,0.06462929682893738,0.016418761036727025,84.24902365451115,4.759759943350296,56.26175449499502,2.0987352467790457,-0.5805830110315172,2.9386379009983457,500
sentinel1_sentinel2,25,15,-0.1648088742414382,0.23263847030003104,93.73995533678595,11.287643203332673,65.82314712419766,10.29958970349911,0.19575283708075836,17.69948370654093,500
sentinel1_sentinel2,50,15,-0.11776469064019729,0.10132816695076025,92.0641105818698,7.33542277530927,64.00499231853942,5.71482182108916,-1.7556141305650779,12.987656745501395,500
sentinel1_sentinel2,100,15,-0.10256354482939253,0.08598592314689611,91.3830534243526,5.793109536943124,62.84767873130305,4.092579606519041,-0.6231354365233702,6.947879607569688,500
sentinel1_sentinel2,250,15,-0.035211760329836195,0.06481155949503048,88.635475088505,6.311477204183267,60.24109797953608,3.8801918482612736,-0.8367158687482467,5.651309382484834,500
sentinel1_sentinel2,500,15,0.006462083793655086,0.042334141552002866,86.84182825303428,5.67113702128973,58.640323356479236,3.2066184818357137,-0.4994754319953856,4.511403852747116,500
sentinel1_sentinel2,1000,15,0.039264683673997915,0.01954406983329807,85.3844216690985,4.882716818355603,57.342711142329705,2.2161413006712976,-0.7185293640116392,3.7423196291175285,500
sentinel1_sentinel2,2500,15,0.06341675822919429,0.017816922760470533,84.29990344123001,4.707522244560353,56.36253492629938,2.096669400408542,-0.5531784335938822,2.9282124015476345,500
