representation,method,budget,runs,N_train,N_test_mean,R2_mean,R2_sd,R2_median,RMSE_mean,RMSE_sd,RMSE_median,MAE_mean,MAE_sd,MAE_median,Bias_mean,Bias_sd,Bias_median
alphaearth,bias_only,50,15,50.0,26039.0,-0.19083438289333315,0.04633390409158811,-0.1816606055610963,95.79360742045944,4.094135637254273,93.78480467641886,66.379206227484,2.618648261867943,65.07828869750328,4.874412541565903,16.04857459509361,5.6995585874296
alphaearth,bias_only,100,15,100.0,26039.0,-0.17278263677233324,0.04219329194246714,-0.16677885751892774,95.05870753573686,3.7500498065429375,93.52732781872169,65.55070088965674,2.1391525829103872,64.77133545760051,4.599078446988676,10.362269782472971,1.129328166691085
alphaearth,bias_only,250,15,250.0,26039.0,-0.16202287413674377,0.02027120586475252,-0.16009829282741483,94.65002670743577,3.963372910947603,93.15145385115132,64.891445457692,1.3113173776763354,64.36740790225261,1.3561068785480181,6.8297762945896485,3.1139516423204565
alphaearth,bias_only,500,15,500.0,26039.0,-0.16154415578486256,0.022679563339211672,-0.1549837396720235,94.6224519953086,3.7849610310749875,93.1192433010201,64.79353862350494,1.2392639026541128,64.00457749831351,0.5498783729763728,6.427903316470785,1.6171073274381815
alphaearth,bias_only,1000,15,1000.0,26039.0,-0.16065235591634414,0.023214133688092182,-0.1549540431962766,94.58697528626983,3.8189257916030632,93.01189439207869,64.74660200899636,1.2608966315036998,64.06189668650687,0.5258764547566478,5.866163622711186,-0.028609109063282425
alphaearth,bias_only,2500,15,2500.0,26039.0,-0.15875997264901998,0.020926007176652713,-0.15478237459695987,94.51159039957409,3.8201344635950756,92.99780132381268,64.66239562513523,1.1972165595623878,64.08668363938749,0.2173369065704089,4.403793609934961,1.011020962584809
alphaearth,local_xgboost,25,15,25.0,26039.0,-0.10366928427395736,0.13067195864656186,-0.07969532112608846,92.0755346128896,5.934215339592936,91.90424488023972,64.20915175566414,5.5576578058424255,64.25370229714852,-1.4942796762268145,11.917929466286182,-2.6980265673675174
alphaearth,local_xgboost,50,15,50.0,26039.0,-0.08214147601678197,0.09972131472489107,-0.04401738238948849,91.30531804950475,6.498023069140008,90.67853896783691,63.27764581092945,5.626004495389532,63.98834092106926,1.9996873688562777,13.375914234606542,3.8130453169071563
alphaearth,local_xgboost,100,15,100.0,26039.0,-0.0311259409965393,0.09513733070794844,0.00045322779982026606,89.08664707270977,5.55947815395487,87.3676084292139,61.12730409181495,4.666182741118838,60.17976213761846,2.995597688280663,10.223316888745838,-1.4380502140776643
alphaearth,local_xgboost,250,15,250.0,26039.0,0.03744575316448306,0.03924841077729576,0.045568534038862185,86.14287618864581,4.231200777642632,84.21910379007647,58.04231391473821,2.4056457675887053,57.48516778363747,1.31487919458957,5.510529705223382,1.7141162337100087
