representation,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
palsar_l,50,0,44,50,21343,-0.04836595605134031,89.2085351366287,60.23433759691063,-6.9026481990107404
sentinel1_c_palsar_l,50,0,44,50,21343,-0.08635958844206315,90.8106437176687,62.56470826803022,-0.543749624636335
sentinel1_sentinel2,50,0,44,50,21343,-0.058680683168845116,89.64631615274752,62.060632379480516,4.906548557521347
palsar_sentinel2,50,0,44,50,21343,-0.00853379510723462,87.49740664941154,59.69870411772882,1.645551984870716
sentinel1_palsar_sentinel2,50,0,44,50,21343,-0.05939234481214806,89.67644191578886,62.11897986885847,5.140443103880714
alphaearth,50,0,44,50,21343,-0.0035746460933367974,87.28202100596286,59.037112526661616,-1.056960557020283
dem,100,0,42,100,21343,-0.11692827069068001,92.07942423972476,64.77363335915736,6.218283150302437
sentinel1_c,100,0,42,100,21343,-0.09094389694469096,91.0020470736115,63.1022777452574,3.5196201955992445
palsar_l,100,0,42,100,21343,-0.16086358359097286,93.8729675215397,65.91569908389984,7.688279089983208
sentinel1_c_palsar_l,100,0,42,100,21343,-0.12504351812672354,92.41332880819375,64.27842202224903,4.94576818040301
sentinel1_sentinel2,100,0,42,100,21343,-0.11162206221316429,91.86044227463992,63.81374733887427,2.1367516894072125
palsar_sentinel2,100,0,42,100,21343,-0.1546671654175673,93.62209633325187,65.50997639916072,5.276951118912487
sentinel1_palsar_sentinel2,100,0,42,100,21343,-0.12487189679585264,92.4062798793652,64.38586665724686,5.233696766958108
alphaearth,100,0,42,100,21343,0.02756737595388037,85.91712054882672,58.74607931112594,5.434961285122638
dem,100,0,43,100,21343,-0.16266845114261264,93.94591427919465,64.77489339064041,-6.845403044673955
sentinel1_c,100,0,43,100,21343,-0.11811897211860667,92.12849180304714,63.37858893717485,-2.9469161001146627
palsar_l,100,0,43,100,21343,-0.16283912830407843,93.95280955254341,65.60162371575748,3.3538065173355434
sentinel1_c_palsar_l,100,0,43,100,21343,-0.12237468570677135,92.30365210446948,64.03839940487482,2.267256299549913
sentinel1_sentinel2,100,0,43,100,21343,-0.08915409705075428,90.92736756315281,62.6773584205344,2.1874139582702665
palsar_sentinel2,100,0,43,100,21343,-0.08763198818901263,90.8638091830227,62.79630745056405,5.537876015462736
sentinel1_palsar_sentinel2,100,0,43,100,21343,-0.07369235954566555,90.27965371693544,62.56402778867522,6.315702382297042
alphaearth,100,0,43,100,21343,0.07352988822233131,83.8620858170819,54.24439379118908,-4.106386066376296
dem,100,0,44,100,21343,-0.029628615804533798,88.4077332121,59.41704372150407,-2.7165375041408573
sentinel1_c,100,0,44,100,21343,-0.09135275058630143,91.01909791972764,61.67280424285374,-0.6230684083008273
palsar_l,100,0,44,100,21343,-0.06203980303287526,89.78842426714066,60.101106767609274,-6.192597778057047
sentinel1_c_palsar_l,100,0,44,100,21343,-0.03611485365614686,88.68576225630699,59.274199963940625,-3.3535700551719296
sentinel1_sentinel2,100,0,44,100,21343,-0.03232689710258696,88.52349963820318,59.383819502270605,2.007437195239587
palsar_sentinel2,100,0,44,100,21343,9.93391318595549e-05,87.12210919321626,58.045641746535445,-2.3405069739427558
sentinel1_palsar_sentinel2,100,0,44,100,21343,-0.0051351507550077,87.3498540739061,58.0461921848602,-1.1864949989905165
alphaearth,100,0,44,100,21343,0.08455225575881853,83.36173264344384,53.930492962330675,-1.7992301698847502
dem,250,0,42,250,21343,-0.018926597822413793,87.94707557399798,60.058654620021564,0.2433780534216299
sentinel1_c,250,0,42,250,21343,-0.0061949666882650245,87.39589284648352,58.85769818225468,-0.8741741633978082
palsar_l,250,0,42,250,21343,-0.05818861522072272,89.62548021680794,60.939934049175555,-0.8478212169814762
sentinel1_c_palsar_l,250,0,42,250,21343,-0.031112374377139762,88.4714107876637,59.61207040718089,-1.2373576901765733
sentinel1_sentinel2,250,0,42,250,21343,0.004273159179265962,86.94008497542255,57.81552675879141,-3.5484906095052553
palsar_sentinel2,250,0,42,250,21343,-0.006688906566595154,87.41734148297526,58.31502727240023,-4.457938478138663
sentinel1_palsar_sentinel2,250,0,42,250,21343,0.006126686148720029,86.85912860869033,57.70749622076601,-3.973964058729082
alphaearth,250,0,42,250,21343,0.08343095213871665,83.41277062316476,54.6684014836165,-2.398702928882958
dem,250,0,43,250,21343,-0.23244503426976548,96.72388520093348,66.80204652636661,6.983374477318548
sentinel1_c,250,0,43,250,21343,-0.2365126164182052,96.88336828121743,67.17288029485648,12.044285319800112
palsar_l,250,0,43,250,21343,-0.21511205507937547,96.0413194728415,65.84838768343374,9.132760896400244
sentinel1_c_palsar_l,250,0,43,250,21343,-0.29495947889834695,99.14664955242216,67.48606915958736,14.917544055129614
sentinel1_sentinel2,250,0,43,250,21343,-0.20800382101689863,95.75999335640337,66.08852613639978,11.716383993282601
palsar_sentinel2,250,0,43,250,21343,-0.15895060337740596,93.79558927742997,64.8113174045411,9.373137307713208
sentinel1_palsar_sentinel2,250,0,43,250,21343,-0.24031196957743228,97.03209778272944,65.90036611040189,13.09407526301897
alphaearth,250,0,43,250,21343,-0.14635092981286246,93.28434083133898,63.535844561238825,12.601097523962354
dem,250,0,44,250,21343,-0.06559916973521251,89.93875884148238,61.69553666563256,3.7323876909365743
sentinel1_c,250,0,44,250,21343,-0.061188801577344964,89.75244379244039,60.83866297778553,0.8271048445768329
palsar_l,250,0,44,250,21343,-0.07059187452979976,90.14920989061089,62.20246399622023,3.8658247992665578
sentinel1_c_palsar_l,250,0,44,250,21343,-0.043689193264520254,89.00933299436944,60.34002411301166,1.504969015698419
sentinel1_sentinel2,250,0,44,250,21343,0.0024813995903710806,87.01827193890126,57.98227498774635,0.6124696056827199
palsar_sentinel2,250,0,44,250,21343,0.0032234715674497316,86.9858986904485,58.4861237064771,2.8767596080220343
sentinel1_palsar_sentinel2,250,0,44,250,21343,0.007264992182157148,86.80937347633456,57.963968776641984,2.1916743463781496
alphaearth,250,0,44,250,21343,0.07325731340221431,83.8744213536583,55.05774189820699,1.0826377822158466
dem,500,0,42,500,21343,-0.01410353365411443,87.73868100656067,59.73149727655711,3.2593525971544532
sentinel1_c,500,0,42,500,21343,-0.009196665732321252,87.52615627279812,59.36135869834011,3.6289986485857106
palsar_l,500,0,42,500,21343,-0.008695557907659301,87.50442339892277,59.21505313953091,2.762025986703836
sentinel1_c_palsar_l,500,0,42,500,21343,0.014382773674176064,86.49760765591952,58.2141228697933,3.049699061442837
sentinel1_sentinel2,500,0,42,500,21343,0.03283946529195603,85.68390215733697,57.175704008046175,2.75951656389935
palsar_sentinel2,500,0,42,500,21343,0.029805443263923093,85.81819386734216,57.37689569687923,2.4246942325254697
