representation,budget,fold,seed,bias_correction,affine_intercept,affine_slope
conventional,1000,1,44,-77.59062897792616,64.22621939423581,0.2777816358813534
alphaearth,2500,1,42,-56.90929005882522,59.42812434015363,0.3531795719515456
conventional,2500,1,42,-72.47621117430522,75.64878524170557,0.24204580845816623
alphaearth,2500,1,43,-55.588764610560276,59.55095923852926,0.3540037809153588
conventional,2500,1,43,-73.74384544816026,73.56965687208732,0.2498968418730426
alphaearth,2500,1,44,-57.498513637812415,61.43615798515966,0.33892077866910975
conventional,2500,1,44,-76.27344916661242,75.48461926775467,0.23618681369923766
alphaearth,25,2,42,-78.82229219907714,42.07430795499648,0.3924155100755042
conventional,25,2,42,-70.49854351907715,80.8501715613983,0.2061658201452603
alphaearth,25,2,43,-46.977093965810546,120.78239475808303,-0.020031394054107476
conventional,25,2,43,-79.54285616581053,205.08035135879527,-0.4445620989967086
alphaearth,25,2,44,-39.266801863359376,143.8209201350864,-0.09338120960709538
conventional,25,2,44,-65.15796774335936,123.94662443113612,0.02191722921556685
alphaearth,50,2,42,-73.7733400910681,40.16138659164674,0.3920715594571868
conventional,50,2,42,-81.88278433106811,76.48633216166417,0.19002782696669826
alphaearth,50,2,43,-30.904949020937497,104.55788704791331,0.2252031427191703
conventional,50,2,43,-63.16874490093749,142.61510421275725,0.006356970880661043
alphaearth,50,2,44,-42.31399067580811,147.718711421625,-0.12765426681711645
conventional,50,2,44,-63.73525722180811,71.05284752086165,0.2903709009897831
alphaearth,100,2,42,-62.19948592115173,59.294780386966444,0.3409869971786344
conventional,100,2,42,-74.95393952115172,91.53610837460892,0.1553546586606444
alphaearth,100,2,43,-31.717217995520627,65.99726736876615,0.43263417640702323
conventional,100,2,43,-57.74185048552064,83.06961117078589,0.2897259022942708
alphaearth,100,2,44,-56.50747458078554,94.2944225218077,0.13717101387981528
conventional,100,2,44,-72.72145534378552,58.03334110091015,0.315384409246521
alphaearth,250,2,42,-51.162179117953855,87.54557686782879,0.23796815279891076
conventional,250,2,42,-68.49461237795386,58.25173573023452,0.36422105621915957
alphaearth,250,2,43,-51.034770304753906,62.04063616561503,0.36262190219011137
conventional,250,2,43,-74.3110191487539,76.22881099725261,0.24986391086869597
alphaearth,250,2,44,-56.18303718919385,73.779160863089,0.24770811665997786
conventional,250,2,44,-75.34382916919384,77.71572944044503,0.2024650892041669
alphaearth,500,2,42,-53.34178091635376,85.76063382648941,0.21537362467851173
conventional,500,2,42,-70.51651821835377,76.3201296437669,0.24489912725227475
alphaearth,500,2,43,-51.994805920951634,71.85144595019919,0.2996227020965769
conventional,500,2,43,-74.68156505375164,78.52701133804497,0.23209366422914213
alphaearth,500,2,44,-47.80631738104993,70.73725836407816,0.3035640344336601
conventional,500,2,44,-68.42292688704993,90.77565345108685,0.1657623874248832
alphaearth,1000,2,42,-49.5590739900998,76.4771197414215,0.28340624746887383
conventional,1000,2,42,-69.14565728289979,80.33979489550137,0.23524700788593908
alphaearth,1000,2,43,-51.04839182178844,65.18167587706857,0.3361285023056293
conventional,1000,2,43,-73.16633843318844,72.52970571694742,0.26116542620706945
alphaearth,1000,2,44,-50.23927933774927,69.97572786836116,0.3139992263729557
conventional,1000,2,44,-68.43259938974926,82.23494598733838,0.22108930183890255
alphaearth,2500,2,42,-52.37459211734791,72.68552996262633,0.2930374990211639
conventional,2500,2,42,-71.38738743086792,82.39132447450947,0.21505674833741936
alphaearth,2500,2,43,-54.19725395888327,66.21738862989183,0.3167434620165767
conventional,2500,2,43,-74.06833562284328,75.88809420818397,0.2353353269949937
alphaearth,2500,2,44,-53.76072458121445,63.50704043086164,0.33123259605222954
conventional,2500,2,44,-72.85600758221445,78.26795052028815,0.22279084268374552
