year,spatial_block_id,raw_qa_valid_n,new_sampled_n,sampling_fraction,max_per_block_year,seed
2020,EPSG5070_50KM_25_20,13022,200,0.01535862386730149,200,42
2020,EPSG5070_50KM_25_21,20310,200,0.009847365829640572,200,42
2020,EPSG5070_50KM_25_22,28525,200,0.007011393514460999,200,42
2020,EPSG5070_50KM_25_23,20575,200,0.009720534629404616,200,42
2020,EPSG5070_50KM_25_24,18824,200,0.010624734381640459,200,42
2020,EPSG5070_50KM_25_25,31771,200,0.00629504894400554,200,42
2020,EPSG5070_50KM_25_26,35844,200,0.005579734404642339,200,42
2020,EPSG5070_50KM_25_27,4146,200,0.0482392667631452,200,42
2020,EPSG5070_50KM_25_28,3844,200,0.05202913631633715,200,42
2020,EPSG5070_50KM_26_18,67,67,1.0,200,42
2020,EPSG5070_50KM_26_19,2451,200,0.08159934720522236,200,42
2020,EPSG5070_50KM_26_20,15083,200,0.013259961546111516,200,42
2020,EPSG5070_50KM_26_21,18479,200,0.01082309648790519,200,42
2020,EPSG5070_50KM_26_22,30800,200,0.006493506493506494,200,42
2020,EPSG5070_50KM_26_23,32705,200,0.006115272894052897,200,42
2020,EPSG5070_50KM_26_24,24052,200,0.008315316813570598,200,42
2020,EPSG5070_50KM_26_25,37355,200,0.005354035604336769,200,42
2020,EPSG5070_50KM_26_26,12581,200,0.015896987520864797,200,42
2020,EPSG5070_50KM_26_27,10851,200,0.0184314809694959,200,42
2020,EPSG5070_50KM_26_28,9515,200,0.021019442984760904,200,42
2020,EPSG5070_50KM_27_19,39,39,1.0,200,42
2020,EPSG5070_50KM_27_20,578,200,0.3460207612456747,200,42
2020,EPSG5070_50KM_27_21,14846,200,0.013471642193183348,200,42
2020,EPSG5070_50KM_27_22,14493,200,0.013799765403988131,200,42
2020,EPSG5070_50KM_27_23,24474,200,0.008171937566396992,200,42
2020,EPSG5070_50KM_27_24,43913,200,0.004554459954910847,200,42
2020,EPSG5070_50KM_27_25,18678,200,0.010707784559374666,200,42
2020,EPSG5070_50KM_27_26,6474,200,0.030892801977139325,200,42
2020,EPSG5070_50KM_27_27,11206,200,0.017847581652686063,200,42
2020,EPSG5070_50KM_27_28,4782,200,0.04182350480970305,200,42
2020,EPSG5070_50KM_28_21,170,170,1.0,200,42
2020,EPSG5070_50KM_28_22,5741,200,0.03483713638738896,200,42
2020,EPSG5070_50KM_28_23,30786,200,0.006496459429610862,200,42
2020,EPSG5070_50KM_28_24,20005,200,0.009997500624843789,200,42
2020,EPSG5070_50KM_28_25,16304,200,0.01226692836113837,200,42
2020,EPSG5070_50KM_28_26,19274,200,0.010376673238559718,200,42
2020,EPSG5070_50KM_28_27,9419,200,0.02123367661110521,200,42
2020,EPSG5070_50KM_28_28,1196,200,0.16722408026755853,200,42
2020,EPSG5070_50KM_29_23,7165,200,0.027913468248429867,200,42
2020,EPSG5070_50KM_29_24,15536,200,0.012873326467559218,200,42
2020,EPSG5070_50KM_29_25,6778,200,0.029507229271171435,200,42
2020,EPSG5070_50KM_29_26,11699,200,0.017095478246003933,200,42
2020,EPSG5070_50KM_29_27,20930,200,0.009555661729574774,200,42
2020,EPSG5070_50KM_29_28,8526,200,0.02345765892563922,200,42
2020,EPSG5070_50KM_30_24,1929,200,0.10368066355624676,200,42
2020,EPSG5070_50KM_30_25,5751,200,0.03477656059815684,200,42
2020,EPSG5070_50KM_30_26,4022,200,0.04972650422675286,200,42
2020,EPSG5070_50KM_30_27,6587,200,0.030362835888872022,200,42
2020,EPSG5070_50KM_30_28,1287,200,0.1554001554001554,200,42
2020,EPSG5070_50KM_31_26,1067,200,0.18744142455482662,200,42
2020,EPSG5070_50KM_31_27,348,200,0.5747126436781609,200,42
2021,EPSG5070_50KM_18_26,10,10,1.0,200,42
2021,EPSG5070_50KM_18_27,1722,200,0.11614401858304298,200,42
2021,EPSG5070_50KM_19_23,2548,200,0.07849293563579278,200,42
2021,EPSG5070_50KM_19_24,1412,200,0.141643059490085,200,42
2021,EPSG5070_50KM_19_25,12413,200,0.016112140497865142,200,42
2021,EPSG5070_50KM_19_26,9798,200,0.020412329046744233,200,42
2021,EPSG5070_50KM_19_27,8224,200,0.024319066147859923,200,42
2021,EPSG5070_50KM_20_18,670,200,0.29850746268656714,200,42
2021,EPSG5070_50KM_20_19,6044,200,0.03309066843150232,200,42
2021,EPSG5070_50KM_20_20,7179,200,0.027859033291544783,200,42
2021,EPSG5070_50KM_20_21,3423,200,0.05842827928717499,200,42
2021,EPSG5070_50KM_20_22,7937,200,0.025198437696862794,200,42
2021,EPSG5070_50KM_20_23,11777,200,0.016982253545045428,200,42
2021,EPSG5070_50KM_20_24,10755,200,0.018596001859600187,200,42
2021,EPSG5070_50KM_20_25,14928,200,0.01339764201500536,200,42
2021,EPSG5070_50KM_20_26,14538,200,0.013757050488375293,200,42
2021,EPSG5070_50KM_20_27,12720,200,0.015723270440251572,200,42
2021,EPSG5070_50KM_21_18,13741,200,0.014554981442398661,200,42
2021,EPSG5070_50KM_21_19,10874,200,0.01839249586168843,200,42
2021,EPSG5070_50KM_21_20,18880,200,0.01059322033898305,200,42
2021,EPSG5070_50KM_21_21,19194,200,0.010419922892570595,200,42
2021,EPSG5070_50KM_21_22,10155,200,0.019694731659281144,200,42
2021,EPSG5070_50KM_21_23,6254,200,0.03197953309881676,200,42
2021,EPSG5070_50KM_21_24,12868,200,0.015542430836182779,200,42
2021,EPSG5070_50KM_21_25,17084,200,0.011706860220088973,200,42
2021,EPSG5070_50KM_21_26,10397,200,0.01923631816870251,200,42
2021,EPSG5070_50KM_21_27,18351,200,0.010898588632772056,200,42
2021,EPSG5070_50KM_22_18,4915,200,0.04069175991861648,200,42
2021,EPSG5070_50KM_22_19,14722,200,0.013585110718652357,200,42
2021,EPSG5070_50KM_22_20,12217,200,0.016370631087828436,200,42
2021,EPSG5070_50KM_22_21,12565,200,0.01591723040191007,200,42
2021,EPSG5070_50KM_22_22,19805,200,0.01009845998485231,200,42
2021,EPSG5070_50KM_22_23,17288,200,0.01156871818602499,200,42
2021,EPSG5070_50KM_22_24,19224,200,0.010403662089055347,200,42
2021,EPSG5070_50KM_22_25,9141,200,0.021879444262115744,200,42
2021,EPSG5070_50KM_22_26,14179,200,0.014105367092178574,200,42
2021,EPSG5070_50KM_22_27,10889,200,0.01836715951878042,200,42
2021,EPSG5070_50KM_22_28,300,200,0.6666666666666666,200,42
2021,EPSG5070_50KM_23_18,7629,200,0.026215755669157164,200,42
2021,EPSG5070_50KM_23_19,13483,200,0.014833494029518652,200,42
2021,EPSG5070_50KM_23_20,9535,200,0.02097535395909806,200,42
2021,EPSG5070_50KM_23_21,15412,200,0.012976901116013496,200,42
2021,EPSG5070_50KM_23_22,8420,200,0.023752969121140142,200,42
2021,EPSG5070_50KM_23_23,25578,200,0.00781921964187974,200,42
2021,EPSG5070_50KM_23_24,19319,200,0.010352502717531964,200,42
2021,EPSG5070_50KM_23_25,11727,200,0.017054660185895795,200,42
2021,EPSG5070_50KM_23_26,12746,200,0.015691197238349285,200,42
2021,EPSG5070_50KM_23_27,14155,200,0.01412928293889085,200,42
2021,EPSG5070_50KM_23_28,2947,200,0.0678656260604004,200,42
2021,EPSG5070_50KM_24_18,11273,200,0.017741506253880955,200,42
2021,EPSG5070_50KM_24_19,13541,200,0.014769957905619968,200,42
2021,EPSG5070_50KM_24_20,12618,200,0.01585037248375337,200,42
2021,EPSG5070_50KM_24_21,6166,200,0.032435939020434644,200,42
2021,EPSG5070_50KM_24_22,16253,200,0.012305420537746877,200,42
2021,EPSG5070_50KM_24_23,13070,200,0.015302218821729151,200,42
2021,EPSG5070_50KM_24_24,16022,200,0.012482836100362002,200,42
