representation,outer_fold,inner_fold,model,config,R2,RMSE,MAE,Bias,N
sentinel1_c_palsar_l,1,0,random_forest,rf_sqrt,0.3805868714331865,85.68857370169121,60.71392740684543,2.2809737950271574,14677
sentinel1_c_palsar_l,1,0,random_forest,rf_half,0.37744587007000996,85.90555940084846,60.835436164649295,2.57889112498418,14677
sentinel1_c_palsar_l,1,0,xgboost,xgb_depth6,0.36568255533419314,86.71336476621508,60.966593887146985,0.3996836746538623,14677
sentinel1_c_palsar_l,1,0,xgboost,xgb_depth8,0.350386252223581,87.75266499942977,61.77770784180114,0.656269776173475,14677
sentinel1_c_palsar_l,1,2,random_forest,rf_sqrt,0.31577962801720716,90.96910294920451,59.82162850851058,1.6282728003130498,15250
sentinel1_c_palsar_l,1,2,random_forest,rf_half,0.31265155740065576,91.17680890227888,59.95034488874305,1.8846495007156325,15250
sentinel1_c_palsar_l,1,2,xgboost,xgb_depth6,0.2984240873210272,92.11561303917144,60.560536311135294,-0.42637177734606774,15250
sentinel1_c_palsar_l,1,2,xgboost,xgb_depth8,0.2823606542643884,93.16419432073123,61.496601697710496,-0.28435812206424377,15250
sentinel1_c_palsar_l,1,3,random_forest,rf_sqrt,0.32792741021484273,88.56542315134881,59.90715178203344,-3.680908819362741,15446
sentinel1_c_palsar_l,1,3,random_forest,rf_half,0.32570611334365696,88.71166316550138,59.9571015856103,-3.4464898178531254,15446
sentinel1_c_palsar_l,1,3,xgboost,xgb_depth6,0.3145247574019495,89.44416154383624,60.35254576541371,-3.7167177675253456,15446
sentinel1_c_palsar_l,1,3,xgboost,xgb_depth8,0.29724887167197556,90.56426902532252,61.42540287333279,-3.6138607279199815,15446
sentinel1_c_palsar_l,1,4,random_forest,rf_sqrt,0.36009641675519966,84.59782917025606,60.0006248652858,0.7144729545801557,14627
sentinel1_c_palsar_l,1,4,random_forest,rf_half,0.35919479352101435,84.65740730146098,59.9464977061504,0.9054783057471255,14627
sentinel1_c_palsar_l,1,4,xgboost,xgb_depth6,0.35524906522868294,84.91764434334786,59.92836589365575,0.3789265499468653,14627
sentinel1_c_palsar_l,1,4,xgboost,xgb_depth8,0.3371992949642144,86.09807247060627,60.790731352967235,0.5735344824062866,14627
sentinel1_c_palsar_l,2,0,random_forest,rf_sqrt,0.3770983805430572,85.88062195604287,60.79359329555371,2.010811132480073,14688
sentinel1_c_palsar_l,2,0,random_forest,rf_half,0.3737471327794456,86.1113334890562,60.85123336190222,2.1077745615875267,14688
sentinel1_c_palsar_l,2,0,xgboost,xgb_depth6,0.3654843270432093,86.67755015160647,60.85304113858042,0.8218613905956645,14688
sentinel1_c_palsar_l,2,0,xgboost,xgb_depth8,0.3525096775760589,87.55926188278649,61.689875575183834,1.296446381025249,14688
sentinel1_c_palsar_l,2,1,random_forest,rf_sqrt,0.3411462295876717,90.28375755626016,61.00991459943545,4.92850467508303,15046
sentinel1_c_palsar_l,2,1,random_forest,rf_half,0.33731807454920804,90.5456666843527,61.13776268311761,5.524077413145047,15046
sentinel1_c_palsar_l,2,1,xgboost,xgb_depth6,0.3192629691130465,91.77085884486378,62.093381860776695,5.757695627499117,15046
sentinel1_c_palsar_l,2,1,xgboost,xgb_depth8,0.30449050480427775,92.7612601334182,62.807720750115,5.47028271507682,15046
sentinel1_c_palsar_l,2,3,random_forest,rf_sqrt,0.3184888391636943,90.1162966535419,60.17865586519947,-3.842948594742958,15548
sentinel1_c_palsar_l,2,3,random_forest,rf_half,0.31684912991344816,90.22464099217106,60.28206227746686,-3.5425232073013477,15548
sentinel1_c_palsar_l,2,3,xgboost,xgb_depth6,0.3178933980340347,90.15565568177891,60.30449041180554,-3.4248665326290197,15548
sentinel1_c_palsar_l,2,3,xgboost,xgb_depth8,0.30033783187756957,91.30846577133543,61.20815299056757,-3.3625476869602045,15548
sentinel1_c_palsar_l,2,4,random_forest,rf_sqrt,0.3686519941066214,83.64212120067455,59.81785260372692,-0.9418891030857679,14718
sentinel1_c_palsar_l,2,4,random_forest,rf_half,0.36869626367186714,83.63918869338953,59.74812204038434,-0.6977467159220471,14718
sentinel1_c_palsar_l,2,4,xgboost,xgb_depth6,0.35780490712372115,84.35758204622938,60.179129081863955,-1.4582689121739676,14718
sentinel1_c_palsar_l,2,4,xgboost,xgb_depth8,0.3423859245991976,85.36428001336525,60.90885794384691,-1.3606920752708287,14718
sentinel1_c_palsar_l,3,0,random_forest,rf_sqrt,0.37134411536451306,87.02551707807629,60.90073668462372,-0.4005234556833931,14808
sentinel1_c_palsar_l,3,0,random_forest,rf_half,0.3699652541025418,87.12090343409227,60.934202841594946,-0.21213499686867263,14808
sentinel1_c_palsar_l,3,0,xgboost,xgb_depth6,0.36256778459630057,87.6308701490627,61.26091394735183,-0.1719308235452828,14808
sentinel1_c_palsar_l,3,0,xgboost,xgb_depth8,0.3487296201897371,88.5769624673596,62.048505473829366,0.14816223995717392,14808
sentinel1_c_palsar_l,3,1,random_forest,rf_sqrt,0.34426808441363266,89.37933354928134,60.488040022879325,4.532689096210605,14995
sentinel1_c_palsar_l,3,1,random_forest,rf_half,0.3406717477150677,89.62409718309412,60.58963860880473,5.29797435453023,14995
sentinel1_c_palsar_l,3,1,xgboost,xgb_depth6,0.3217383626089729,90.90181988374104,61.50174502916974,5.5905200425234325,14995
sentinel1_c_palsar_l,3,1,xgboost,xgb_depth8,0.30737182436852617,91.8594896436687,62.210512212670345,5.539099900099476,14995
sentinel1_c_palsar_l,3,2,random_forest,rf_sqrt,0.3103875614178425,90.95614368681697,59.6857322664761,0.9064640441081421,15473
sentinel1_c_palsar_l,3,2,random_forest,rf_half,0.30754927718947545,91.14312864236838,59.850430988523414,1.1606628237892198,15473
sentinel1_c_palsar_l,3,2,xgboost,xgb_depth6,0.30521110689566444,91.29687861585552,59.55952944737673,-1.8517623063564521,15473
sentinel1_c_palsar_l,3,2,xgboost,xgb_depth8,0.29064349975735626,92.24902236927764,60.35803394101399,-1.8281613668132808,15473
sentinel1_c_palsar_l,3,4,random_forest,rf_sqrt,0.3731362867017295,83.25057410544227,59.39958439473945,-1.634223219160367,14724
sentinel1_c_palsar_l,3,4,random_forest,rf_half,0.37169373828790886,83.34630781159366,59.392562852470185,-1.4631371012034962,14724
sentinel1_c_palsar_l,3,4,xgboost,xgb_depth6,0.36144300204449653,84.0234492886392,59.770180401043525,-1.8040975430097757,14724
sentinel1_c_palsar_l,3,4,xgboost,xgb_depth8,0.3499366271633879,84.7770929059556,60.358053639440556,-1.499799426450166,14724
sentinel1_c_palsar_l,4,0,random_forest,rf_sqrt,0.36666342429902155,87.18927012817471,61.443652630283545,0.0451355111982444,14597
sentinel1_c_palsar_l,4,0,random_forest,rf_half,0.36292188986120644,87.44643297484015,61.54724492524979,0.28466534558431245,14597
sentinel1_c_palsar_l,4,0,xgboost,xgb_depth6,0.3501595405854966,88.31798073462565,61.78641735644883,-1.99628171823061,14597
sentinel1_c_palsar_l,4,0,xgboost,xgb_depth8,0.3339072259244529,89.41556364181292,62.6006872184603,-2.05365754289217,14597
sentinel1_c_palsar_l,4,1,random_forest,rf_sqrt,0.34484534633267094,89.53592199992727,60.955545977946386,6.267175077418278,14854
sentinel1_c_palsar_l,4,1,random_forest,rf_half,0.340781147562094,89.81320705198199,61.08742265258712,6.943327452159819,14854
sentinel1_c_palsar_l,4,1,xgboost,xgb_depth6,0.32563046088112746,90.83942313813537,61.89549566879016,7.705357606221547,14854
sentinel1_c_palsar_l,4,1,xgboost,xgb_depth8,0.30951284838402093,91.91855658081069,62.74543169702526,7.541303623337534,14854
sentinel1_c_palsar_l,4,2,random_forest,rf_sqrt,0.30790871195369607,91.57932540585415,59.978147576769096,0.8058302630491084,15178
sentinel1_c_palsar_l,4,2,random_forest,rf_half,0.3059029280554819,91.71193467498466,60.03314953538925,1.018440516735669,15178
sentinel1_c_palsar_l,4,2,xgboost,xgb_depth6,0.2989682251853567,92.16894161024507,59.97522653429258,-1.8601048856398616,15178
sentinel1_c_palsar_l,4,2,xgboost,xgb_depth8,0.28242959880244056,93.24982104905835,61.01744228409697,-1.314508720735291,15178
