representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
conventional,bias_only,2500,0,42,2500,26033,-0.421550068933652,103.77568241893651,73.43564794216161,-0.048535788035785316
conventional,affine,2500,0,42,2500,26033,0.04201663030186431,85.19095809334372,58.74192118872483,5.169578029574191
conventional,local_xgboost,2500,0,42,2500,26033,0.06287282141028128,84.25851181854875,56.916086075704754,4.622346246934685
alphaearth,bias_only,2500,0,43,2500,26033,-0.15478237459695987,93.53294112986207,63.739098886126364,1.043806828872976
alphaearth,affine,2500,0,43,2500,26033,0.05074596907002782,84.80193119771414,57.546472756237414,3.3173816498054154
alphaearth,local_xgboost,2500,0,43,2500,26033,0.11544775049900313,81.86085252470501,53.673736152389104,2.3992717649049635
conventional,bias_only,2500,0,43,2500,26033,-0.42174135456754747,103.78266427975375,73.4785244570767,1.2047818104650003
conventional,affine,2500,0,43,2500,26033,0.045692590534587185,85.02735422832875,58.338012057076185,4.055524605901756
conventional,local_xgboost,2500,0,43,2500,26033,0.038387388651833554,85.35217503719404,57.19507675095891,4.258567802788053
alphaearth,bias_only,2500,0,44,2500,26033,-0.15477493709427015,93.532639924788,63.73679720421045,1.0164583581264324
alphaearth,affine,2500,0,44,2500,26033,0.053276345609117315,84.68882975158598,57.897131430248805,4.811132870292505
alphaearth,local_xgboost,2500,0,44,2500,26033,0.14112449488167444,80.66397620166033,52.95862881717495,2.7054618125961154
conventional,bias_only,2500,0,44,2500,26033,-0.42240719384229375,103.80696352551463,73.3940466346118,-2.548680167121554
conventional,affine,2500,0,44,2500,26033,0.04579894614551594,85.02261603385979,58.36077503149222,4.161396655104648
conventional,local_xgboost,2500,0,44,2500,26033,0.06625900534573415,84.10614561408714,56.82807668193978,5.021785014185052
alphaearth,bias_only,25,1,42,25,26059,-0.13404664412125444,101.63265114376365,67.08725043379162,0.5700657774784152
alphaearth,affine,25,1,42,25,26059,0.00291997481440176,95.29778438000098,63.75435757901203,3.1104527728088263
alphaearth,local_xgboost,25,1,42,25,26059,-0.06387894741954847,98.43825425198948,66.87042846779816,1.766730291573749
