model,config,inner_fold,RMSE,R2,representation,outer_fold
random_forest,rf_sqrt,2,85.94115519526359,0.3674322608008209,conventional,1
random_forest,rf_half,2,86.0971476571385,0.3651338194470246,conventional,1
xgboost,xgb_depth6,2,86.35136391384796,0.3613791869483166,conventional,1
xgboost,xgb_depth8,2,86.82415648597275,0.35436686557659447,conventional,1
random_forest,rf_sqrt,3,81.88487015663854,0.4076917830139499,conventional,1
random_forest,rf_half,3,81.85327699762883,0.40814874845101756,conventional,1
xgboost,xgb_depth6,3,81.82326286121932,0.40858271146376934,conventional,1
xgboost,xgb_depth8,3,82.38196046236311,0.40047862244976107,conventional,1
random_forest,rf_sqrt,4,76.60811647142489,0.43616525411354135,conventional,1
random_forest,rf_half,4,76.40074466889898,0.4392136302376485,conventional,1
xgboost,xgb_depth6,4,76.32034295159612,0.4403933167099757,conventional,1
xgboost,xgb_depth8,4,77.35233934811264,0.42515710078729074,conventional,1
random_forest,rf_sqrt,0,79.60396832616934,0.45137395338648356,conventional,2
random_forest,rf_half,0,79.41162588569797,0.45402197682267975,conventional,2
xgboost,xgb_depth6,0,79.47136586717572,0.45320020834428154,conventional,2
xgboost,xgb_depth8,0,80.11435878418723,0.44431623565445666,conventional,2
random_forest,rf_sqrt,1,83.64520274284362,0.4139306771968001,conventional,2
random_forest,rf_half,1,83.48194672240906,0.4162161871906429,conventional,2
xgboost,xgb_depth6,1,83.4147121714055,0.4171561421952832,conventional,2
xgboost,xgb_depth8,1,83.9971826014845,0.40898792819384666,conventional,2
random_forest,rf_sqrt,3,80.49965756232666,0.4182894939636663,conventional,2
random_forest,rf_half,3,80.25517964402273,0.42181744484996064,conventional,2
xgboost,xgb_depth6,3,80.00922998027325,0.42535580603943335,conventional,2
xgboost,xgb_depth8,3,80.60397293985935,0.41678089952200215,conventional,2
random_forest,rf_sqrt,4,75.83062221129134,0.4440689708950185,conventional,2
random_forest,rf_half,4,75.52043537669452,0.4486077651513546,conventional,2
xgboost,xgb_depth6,4,76.26226501963653,0.437722020712879,conventional,2
xgboost,xgb_depth8,4,76.29129281817158,0.4372938981499852,conventional,2
random_forest,rf_sqrt,0,81.36462425890004,0.4382058641608877,conventional,3
random_forest,rf_half,0,81.15949932540259,0.4410349247011972,conventional,3
xgboost,xgb_depth6,0,81.24969596422528,0.43979182224790847,conventional,3
xgboost,xgb_depth8,0,81.90457728959673,0.4307247512893312,conventional,3
random_forest,rf_sqrt,1,79.934999317771,0.4325697852013447,conventional,3
random_forest,rf_half,1,79.78113897985494,0.4347520828734077,conventional,3
xgboost,xgb_depth6,1,80.18867246165459,0.4289625991903243,conventional,3
xgboost,xgb_depth8,1,80.61487557996713,0.4228763356140913,conventional,3
random_forest,rf_sqrt,2,82.31203510582463,0.3975619408276464,conventional,3
random_forest,rf_half,2,82.31641965153774,0.397497758535056,conventional,3
xgboost,xgb_depth6,2,82.49625056425425,0.3948623941892012,conventional,3
xgboost,xgb_depth8,2,82.89845488788303,0.38894740357682367,conventional,3
random_forest,rf_sqrt,4,76.82902133307968,0.43911191507086056,conventional,3
random_forest,rf_half,4,76.5175063347111,0.4436511067236232,conventional,3
xgboost,xgb_depth6,4,76.63383593126645,0.44195818592149827,conventional,3
xgboost,xgb_depth8,4,77.025617891778,0.4362377472690524,conventional,3
random_forest,rf_sqrt,0,80.60339418105735,0.43750786797903907,conventional,4
random_forest,rf_half,0,80.39049257341293,0.4404754184765518,conventional,4
xgboost,xgb_depth6,0,80.93988486992255,0.43280165326883147,conventional,4
xgboost,xgb_depth8,0,81.4436595634534,0.4257191276206488,conventional,4
random_forest,rf_sqrt,1,81.82468024871196,0.42252124897072185,conventional,4
random_forest,rf_half,1,81.68960585369318,0.4244262539204803,conventional,4
xgboost,xgb_depth6,1,81.79723703386053,0.4229085457074987,conventional,4
xgboost,xgb_depth8,1,82.33215028900956,0.41533608405078215,conventional,4
random_forest,rf_sqrt,2,83.32156681929305,0.3934209045974635,conventional,4
random_forest,rf_half,2,83.27919569442047,0.39403766937185203,conventional,4
xgboost,xgb_depth6,2,83.43164935598487,0.39181704912383175,conventional,4
xgboost,xgb_depth8,2,84.02326302345352,0.38316122000999997,conventional,4
random_forest,rf_sqrt,3,78.74613148327838,0.42916219532254096,conventional,4
random_forest,rf_half,3,78.44375303999549,0.433537715528434,conventional,4
xgboost,xgb_depth6,3,78.38693432909245,0.43435802305086857,conventional,4
xgboost,xgb_depth8,3,78.98880488435367,0.4256384513685241,conventional,4
